127.0.0.1 - - [06/May/2024:21:56:17 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:05 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:05 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:06 -0700] "POST /201_final_project/CompleteTask HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:06 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:06 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:06 -0700] "POST /201_final_project/CompleteTask HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:06 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:06 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:07 -0700] "POST /201_final_project/ShuffleTask HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:07 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:08 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:10 -0700] "POST /201_final_project/ShuffleTask HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:10 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:10 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:23 -0700] "GET /201_final_project/wikisite.html HTTP/1.1" 200 7639
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:23 -0700] "GET /201_final_project/assets/img/Clean-Kitchen.jpg HTTP/1.1" 200 33912
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:23 -0700] "GET /201_final_project/assets/img/CSCI201-Vacuum.jpg HTTP/1.1" 200 119295
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:23 -0700] "GET /201_final_project/assets/img/CSCI201-ToiletCleaner.jpg HTTP/1.1" 200 165828
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:23 -0700] "GET /201_final_project/assets/img/CSCI201-TrashBag.jpg HTTP/1.1" 200 206056
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:23 -0700] "GET /201_final_project/assets/img/Clorox-Wipes.jpg HTTP/1.1" 200 189179
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:23 -0700] "GET /201_final_project/assets/img/CSCI201-DishSoap.jpg HTTP/1.1" 200 100417
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:23 -0700] "GET /201_final_project/assets/img/Swiffer.jpg HTTP/1.1" 200 135514
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:23 -0700] "GET /201_final_project/assets/img/Broom.jpg HTTP/1.1" 200 79463
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:23 -0700] "GET /201_final_project/assets/img/Window-Cleaner.jpg HTTP/1.1" 200 164593
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:23 -0700] "GET /201_final_project/wikisite.js HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:24 -0700] "GET /201_final_project/index.html HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:27 -0700] "GET /201_final_project/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:29 -0700] "POST /201_final_project/Login HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:29 -0700] "GET /201_final_project/household.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:29 -0700] "GET /201_final_project/household.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:29 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:29 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:29 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:44 -0700] "POST /201_final_project/CompleteTask HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:44 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:44 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:44 -0700] "POST /201_final_project/CompleteTask HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:44 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:44 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:46 -0700] "POST /201_final_project/CompleteTask HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:46 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:46 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:46 -0700] "POST /201_final_project/CompleteTask HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:46 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:46 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:47 -0700] "POST /201_final_project/CompleteTask HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:47 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:47 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:48 -0700] "POST /201_final_project/CompleteTask HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:48 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:48 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:56 -0700] "POST /201_final_project/CreateTask HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:56 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [06/May/2024:21:57:56 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [06/May/2024:21:58:01 -0700] "POST /201_final_project/CompleteTask HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [06/May/2024:21:58:01 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [06/May/2024:21:58:01 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [06/May/2024:22:03:03 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:03:03 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:03:03 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2848
0:0:0:0:0:0:0:1 - - [06/May/2024:22:03:03 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [06/May/2024:22:03:03 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:03:03 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:03:03 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [06/May/2024:22:03:15 -0700] "POST /201_final_project/CreateTask HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [06/May/2024:22:03:15 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:03:15 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:32 -0700] "GET /201_final_project/household.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:32 -0700] "GET /201_final_project/household.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:32 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:32 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:32 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:32 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:34 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:34 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:34 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:34 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:34 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:34 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:34 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:49 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:49 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:49 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:49 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:49 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:49 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:49 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:50 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:50 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:50 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:50 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:50 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:50 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:50 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:57 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:57 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:57 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:57 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:57 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:57 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:57 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:57 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:57 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:57 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:57 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:58 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:58 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:04:58 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:16 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:16 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:16 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:16 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:16 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:16 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:16 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:17 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:22 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:22 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:22 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:22 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:22 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:22 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:23 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:23 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:23 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:23 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:23 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:23 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:23 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:23 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:23 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:23 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:23 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:23 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:23 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:23 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:23 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:28 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:28 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:28 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:28 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:28 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:28 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:28 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:28 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:28 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:28 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:28 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:29 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:29 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:29 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:29 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:29 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:29 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:29 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:29 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:29 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:29 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:29 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:29 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:29 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:29 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:29 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:29 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:29 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:33 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:33 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:33 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:33 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:33 -0700] "GET /201_final_project/ws HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:33 -0700] "GET /favicon.ico HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:33 -0700] "POST /201_final_project/HouseholdPage HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:33 -0700] "GET /201_final_project/household.html HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:33 -0700] "GET /201_final_project/household.js HTTP/1.1" 200 7203
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:33 -0700] "GET /201_final_project/household.css HTTP/1.1" 200 2928
0:0:0:0:0:0:0:1 - - [06/May/2024:22:05:33 -0700] "POST /201_final_project/ProgressBar HTTP/1.1" 200 38
